generation,best,top10_avg,worst
1,-121.495442,-137.839148,-987.497831
2,-95.182920,-116.700130,-1703.247855
3,-88.694276,-122.616071,-582.973299
4,-125.074778,-131.032851,-768.290516
5,-122.480903,-125.327035,-1449.746975
6,-119.750859,-126.463494,-544.291578
7,-114.286163,-123.607681,-757.319603
8,-106.298733,-115.603538,-431.943042
9,-60.677087,-116.576989,-683.809250
10,-78.649812,-114.865955,-571.722500
11,-80.971083,-121.321718,-518.841709
12,-57.190723,-81.466957,-466.707157
13,-127.890451,-138.261508,-1040.206233
14,-100.334079,-123.086571,-813.866006
15,-100.109545,-112.331183,-752.293634
16,-83.021027,-115.706377,-531.814261
17,-74.979181,-122.574845,-954.885110
18,-73.669097,-107.194399,-897.963481
19,-29.800250,-93.864284,-932.949671
20,-99.144230,-120.367037,-619.081791
21,-48.916724,-77.061586,-718.774287
22,-46.486631,-65.948884,-1495.427661
23,1.042853,-46.100272,-608.421893
24,-59.200712,-91.568921,-359.377102
25,-49.878455,-71.816606,-530.978918
26,-101.766804,-130.510491,-962.260848
27,-75.876313,-92.468060,-452.607973
28,-31.520488,-51.903636,-813.349109
29,-97.381910,-122.394636,-589.062445
30,-76.302591,-95.401804,-984.753421
31,-41.401382,-71.322507,-1276.054306
32,-73.161904,-83.281889,-785.450626
33,-34.106568,-90.650972,-479.663057
34,-19.942969,-38.851451,-829.395132
35,12.138655,-36.026169,-715.366625
36,-34.426771,-53.892155,-592.107656
37,-19.909886,-54.235958,-460.439543
38,-62.587593,-81.541449,-558.795889
39,-75.635646,-108.685399,-582.877590
40,-48.732772,-76.574010,-567.829263
41,-39.257608,-56.172137,-595.538345
42,-59.899968,-79.616233,-523.478472
43,-77.119658,-118.583729,-567.988157
44,-7.163809,-48.430725,-538.098787
45,-32.015004,-67.062328,-966.682496
46,-8.081035,-62.162583,-428.007491
47,-19.075409,-41.458067,-358.467941
48,-10.265314,-25.026314,-504.688726
49,8.877941,-37.596396,-837.662939
50,-25.088556,-50.904537,-506.215002
51,-7.423032,-44.111478,-405.954270
52,-73.310299,-101.350494,-606.563956
53,-22.132785,-51.056904,-637.703889
54,-33.058303,-44.234364,-581.945474
55,-97.082943,-123.834045,-494.404165
56,-37.235954,-67.171128,-480.355007
57,47.059015,-16.791925,-543.166616
58,-39.022478,-50.893830,-1028.001718
59,10.373726,-26.368941,-395.826698
60,40.552212,-23.709294,-587.796696
61,-17.485209,-32.511325,-558.949919
62,24.602059,-25.815927,-488.036760
63,-26.190527,-42.362157,-346.884666
64,-12.087725,-32.370102,-315.743773
65,-48.185565,-87.478090,-551.248251
66,-19.799119,-33.954615,-324.376086
67,-3.161662,-50.226420,-518.784812
68,-3.535887,-51.730077,-312.988509
69,2.853346,-45.112702,-407.650241
70,13.157766,-9.085749,-306.688550
71,-22.378222,-37.725488,-427.568242
72,-11.211381,-24.343531,-321.372029
73,48.499198,8.770594,-330.738036
74,-7.823370,-19.333443,-398.063586
75,74.992615,9.968743,-419.402211
76,-31.085440,-39.233967,-351.844071
77,-15.353535,-45.850989,-284.407682
78,5.223212,-17.116280,-352.660291
79,12.236261,-32.943264,-222.647415
80,-17.733202,-42.494486,-444.033699
81,-14.799180,-40.654076,-302.345214
82,-23.207851,-37.137866,-236.826177
83,39.731040,-9.227703,-392.679068
84,13.961202,-6.766245,-368.709183
85,-7.005789,-14.032237,-186.222776
86,48.692267,11.775474,-306.476274
87,34.692175,-8.444766,-337.537972
88,18.996074,-0.765095,-379.905906
89,14.375961,-16.602681,-409.532881
90,-26.847469,-54.530078,-297.763552
91,17.886273,-4.830251,-413.094413
92,1.294101,-39.320874,-294.774971
93,-0.128644,-30.071706,-316.524733
94,-21.664284,-38.615344,-222.927441
95,-17.550337,-21.127032,-259.766142
96,20.033682,-0.484808,-588.318490
97,-18.921488,-26.262399,-338.267349
98,5.857102,-8.197764,-210.918946
99,5.135089,-8.502479,-335.806236
100,7.052290,-4.755753,-354.865118
101,8.037631,-27.942366,-402.766869
102,10.767054,-9.350824,-352.816322
103,0.899597,-23.066971,-227.287655
104,67.225152,-2.989059,-543.732924
105,-2.825332,-32.706420,-336.454411
106,-3.414583,-19.042938,-414.970371
107,-15.723811,-29.776493,-246.345874
108,-10.632649,-32.112736,-322.431385
109,18.432390,1.767854,-455.148251
110,-6.591957,-27.028721,-259.664278
111,26.787470,-0.119468,-262.053082
112,1.259177,-7.435258,-341.821068
113,54.929615,23.842925,-318.436792
114,-12.190386,-24.039083,-353.111640
115,-25.292981,-46.347844,-327.640603
116,30.143425,-9.118922,-133.807780
117,9.867284,-22.400979,-624.631073
118,-1.098008,-26.380463,-185.396694
119,-34.521919,-47.387165,-264.621214
120,-7.570970,-16.846211,-277.907144
121,-7.791079,-21.620810,-396.628528
122,29.459789,0.941899,-409.938636
123,-4.114747,-20.918463,-324.358907
124,39.973851,-2.392892,-290.194769
125,47.020446,24.404520,-287.460538
126,17.651924,-24.616500,-278.206233
127,-3.746952,-12.499686,-271.381569
128,28.052998,-14.908175,-314.817690
129,-5.551768,-13.085966,-300.940929
130,96.711462,-1.131283,-376.266732
131,16.581278,-28.520955,-187.253582
132,22.105800,-23.542859,-286.896439
133,13.768131,-8.377199,-224.664016
134,-3.904702,-22.587113,-455.351544
135,35.067643,8.543538,-344.545164
136,7.695045,-22.540214,-265.790915
137,42.013868,11.547257,-234.463400
138,62.858408,23.328232,-225.460799
139,33.764953,-2.093502,-247.179009
140,-15.129095,-31.107732,-310.989014
141,85.336124,6.938158,-235.203544
142,30.536069,2.494661,-215.914159
143,26.141735,-12.615646,-453.466993
144,15.592771,-22.084773,-245.150696
145,-7.109301,-35.976762,-247.483919
146,40.243946,-1.724886,-204.748084
147,-2.908688,-19.019842,-239.594480
148,44.521458,1.641846,-332.794741
149,-6.780663,-11.320652,-291.495443
150,36.925395,9.878997,-149.639387
